City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Wilhelmshaven,53.5167,8.1333,42.8,65,40,10.36,DE,1615994167
Labuan,5.2767,115.2417,82.0,83,20,3.44,MY,1615994168
Massaguet,12.4755,15.4365,104.0,7,51,9.22,TD,1615994168
Shaoxing,30.011,120.5715,50.0,87,75,6.71,CN,1615994168
Kamenka,51.3223,42.7678,30.0,88,99,8.25,RU,1615994169
Vestmanna,62.1564,-7.1664,46.4,100,90,11.5,FO,1615994169
Petrolina,-9.3986,-40.5008,89.6,40,20,13.8,BR,1615994169
Ayr,55.4627,-4.6339,51.8,71,20,10.36,GB,1615994170
Forsytheganj,52.6333,29.7333,36.63,90,100,6.22,BY,1615994170
Vila Franca do Campo,37.7167,-25.4333,60.8,72,75,8.05,PT,1615994170
Shamary,57.3434,58.2199,19.38,92,100,6.58,RU,1615994170
Shache,38.4167,77.2406,54.23,21,47,8.14,CN,1615994171
Coracora,-15.0333,-73.7833,58.28,60,99,3.53,PE,1615994171
Grand-Lahou,5.1367,-5.0242,84.67,70,78,13.02,CI,1615994171
Dauphin,51.1494,-100.0502,24.8,68,1,11.5,CA,1615994172
Umm Kaddadah,13.6017,26.6876,102.31,6,100,12.48,SD,1615994172
Anzio,41.4853,12.6179,48.2,87,75,10.36,IT,1615994172
Henties Bay,-22.116,14.2845,66.11,76,3,12.86,NA,1615994172
Murray Bridge,-35.1167,139.2667,64.0,79,0,1.9,AU,1615994173
Adré,13.4667,22.2,99.27,9,100,7.27,TD,1615994173
Mandalgovi,45.7625,106.2708,27.9,42,68,12.75,MN,1615994173
Huarmey,-10.0681,-78.1522,78.04,67,88,11.1,PE,1615994174
Puerto Quijarro,-17.7833,-57.7667,89.8,54,97,2.53,BO,1615994174
Soyo,-6.1349,12.3689,86.0,66,75,6.91,AO,1615994174
Mackenzie,55.2999,-123.1698,24.8,80,1,2.82,CA,1615994175
Gardone Val Trompia,45.6942,10.187,60.01,99,59,4.0,IT,1615994175
Øksfjord,70.2396,22.3479,25.0,68,40,10.36,NO,1615994175
Nouadhibou,20.931,-17.0347,75.2,60,0,14.97,MR,1615994176
Seydi,39.4816,62.9137,49.82,37,0,18.92,TM,1615994176
Oranjemund,-28.55,16.4333,67.91,75,13,12.86,NA,1615994176
Portree,57.4129,-6.1942,50.0,87,96,3.0,GB,1615994176
North Bend,43.4065,-124.2243,35.6,93,1,9.22,US,1615994049
Hobyo,5.3505,48.5268,81.88,76,96,13.24,SO,1615994177
Dekar,-21.5333,21.9333,76.71,58,82,5.12,BW,1615994177
Ambilobe,-13.2,49.05,76.71,93,100,1.52,MG,1615994177
Saint-François,46.4154,3.9054,44.6,76,90,20.71,FR,1615994178
Moundou,8.5667,16.0833,101.82,16,100,3.06,TD,1615994178
Upata,8.0086,-62.3989,84.99,64,81,4.0,VE,1615994178
Kathu,7.9178,98.3332,88.0,83,20,4.16,TH,1615994178
Pushkino,56.0172,37.8667,33.8,69,0,8.95,RU,1615994179
Garhi Khairo,28.0606,67.9803,84.51,15,30,8.16,PK,1615994179
Horadiz,39.4488,47.3353,53.6,71,0,4.61,AZ,1615994179
Urengoy,65.9667,78.3667,22.21,96,100,6.67,RU,1615994180
Chiredzi,-21.05,31.6667,83.8,52,64,7.31,ZW,1615994180
Luena,-11.7833,19.9167,78.8,73,75,1.03,AO,1615994180
Coquimbo,-29.9533,-71.3436,66.2,72,20,12.66,CL,1615994181
Kazygurt,41.7589,69.3864,44.6,42,0,2.3,KZ,1615994181
Verkh-Usugli,52.7,115.1667,10.09,83,27,2.98,RU,1615994181
Kisangani,0.5167,25.2,70.77,97,100,4.07,CD,1615994182
Zwedru,6.0667,-8.1281,85.12,69,80,4.81,LR,1615994182
Broome,42.2506,-75.833,37.0,80,90,3.44,US,1615994182
Gravdal,68.1214,13.5031,33.8,60,0,4.61,NO,1615994182
Egvekinot,66.3167,-179.1667,-13.2,70,0,7.65,RU,1615994183
Beaufort,5.3473,115.7455,82.0,83,20,3.44,MY,1615994183
Ust'-Kulom,61.6864,53.6902,30.15,95,100,3.98,RU,1615994183
Lagos,6.5833,3.75,82.4,78,75,2.3,NG,1615994174
Durgapur,23.4833,87.3167,84.99,51,0,2.3,IN,1615994184
Nuuk,64.1835,-51.7216,15.8,86,75,26.46,GL,1615994185
Grado,43.388,-6.0743,57.99,82,40,6.91,ES,1615994185
Karonga,-9.9333,33.9333,79.39,77,5,4.14,MW,1615994185
Half Moon Bay,37.4636,-122.4286,44.6,93,40,1.39,US,1615994185
Sørland,67.667,12.6934,37.4,60,75,9.22,NO,1615994186
Gritsovskiy,54.1376,38.1604,28.72,96,100,5.77,RU,1615994186
Soe,-9.8607,124.284,67.1,90,100,1.88,ID,1615994186
Palafrugell,41.9174,3.1631,62.01,20,19,21.5,ES,1615994187
Berehomet,48.1788,25.3486,35.01,93,100,11.92,UA,1615994187
Bud,39.447,-86.1758,46.0,100,90,6.91,US,1615994187
Chapais,49.7834,-74.8492,33.8,60,75,6.91,CA,1615994187
Bengkulu,-3.8004,102.2655,78.93,78,100,3.44,ID,1615994188
Bereket,39.2446,55.5154,51.13,56,100,17.9,TM,1615994188
Port-Gentil,-0.7193,8.7815,84.2,74,40,8.05,GA,1615994188
Hamada,34.8833,132.0833,50.0,11,73,5.01,JP,1615994189
Richards Bay,-28.783,32.0377,77.07,89,100,6.64,ZA,1615994189
Waingapu,-9.6567,120.2641,79.14,84,100,3.85,ID,1615994189
Tateyama,34.9833,139.8667,53.01,36,70,5.99,JP,1615994190
Biltine,14.5333,20.9167,104.02,9,100,10.4,TD,1615994190
Yenagoa,4.9247,6.2642,87.46,60,29,10.07,NG,1615994190
San Ramon,37.7799,-121.978,41.0,87,1,2.46,US,1615994002
Basoko,1.2391,23.616,73.6,90,100,2.44,CD,1615994191
Portel,-1.9356,-50.8211,83.93,70,69,4.36,BR,1615994191
Changde,29.0464,111.6783,54.0,27,96,8.01,CN,1615994191
Dongsheng,39.8161,109.9776,40.84,90,100,12.97,CN,1615994192
Geraldton,-28.7667,114.6,73.4,83,0,12.66,AU,1615994192
Gaspé,48.8334,-64.4819,23.0,50,20,8.05,CA,1615994192
Vaitape,-16.5167,-151.75,82.0,73,55,9.19,PF,1615994193
Sovetskiy,61.3614,63.5842,28.4,91,85,6.24,RU,1615994193
Kem',64.9555,34.5793,16.39,83,2,3.65,RU,1615994193
Mount Isa,-20.7333,139.5,80.6,32,75,5.75,AU,1615994193
Livingstonia,-10.606,34.1063,70.66,82,44,3.44,MW,1615994194
Cianorte,-23.6633,-52.605,71.55,89,100,3.87,BR,1615994194
Uturoa,-16.7333,-151.4333,81.68,74,56,9.71,PF,1615994194
Chunoyar,57.4467,97.3217,11.21,96,92,3.74,RU,1615994195
Eureka,40.8021,-124.1637,37.0,93,1,5.75,US,1615994195
Sharjah city,25.3573,55.4033,84.2,32,0,3.44,AE,1615994195
Óbidos,-1.9175,-55.5181,86.29,65,84,4.72,BR,1615994195
Nizwá,22.9333,57.5333,81.07,20,68,2.35,OM,1615994196
Biloela,-24.4167,150.5,68.45,84,86,10.11,AU,1615994196
Langsa,4.4683,97.9683,76.82,89,100,2.42,ID,1615994196
Baykit,61.67,96.37,11.08,97,69,2.64,RU,1615994197
Kuril'sk,45.2333,147.8833,27.0,94,100,18.7,RU,1615994197
Mehamn,71.0357,27.8492,26.6,86,75,26.46,NO,1615994197
Iwaki,37.05,140.8833,42.01,56,0,3.0,JP,1615994197
Rustenburg,-25.6676,27.2421,81.5,35,100,6.8,ZA,1615994198
Imeni Poliny Osipenko,52.4201,136.4853,12.94,81,100,5.12,RU,1615994198
Omsukchan,62.5333,155.8,-13.97,96,31,3.22,RU,1615994198
Pechenga,69.5259,31.1703,23.0,80,40,21.85,RU,1615994199
Teknāf,20.8624,92.3058,74.97,60,0,6.38,BD,1615994199
Iowa City,41.6611,-91.5302,35.6,87,90,10.36,US,1615994093
Beloha,-25.1667,45.05,83.75,59,10,12.75,MG,1615994199
Kumul,42.8,93.45,43.93,34,80,12.8,CN,1615993967
Dana Point,33.467,-117.6981,48.99,93,61,0.85,US,1615994154
Ballina,-28.8667,153.5667,68.0,94,40,6.91,AU,1615994200
Atambua,-9.1061,124.8925,75.72,82,99,2.39,ID,1615994200
Sabang,5.8933,95.3214,83.91,67,96,5.84,ID,1615994200
Alushta,44.6667,34.4167,46.31,84,65,2.71,UA,1615994201
Bereda,43.2686,-7.5406,61.0,72,4,21.0,ES,1615994201
Port Keats,-14.25,129.55,80.17,81,100,4.27,AU,1615994201
Mangai,-4.05,19.5333,84.04,59,100,3.27,CD,1615994201
Ippy,6.2679,21.2247,78.21,70,99,6.53,CF,1615994202
Meybod,32.2501,54.0166,75.2,22,40,2.3,IR,1615994202
Luwuk,-0.9516,122.7875,78.82,82,15,1.48,ID,1615994203
Rome,43.2128,-75.4557,51.8,32,90,4.61,US,1615994043
Batemans Bay,-35.7167,150.1833,63.0,94,100,1.01,AU,1615994203
Ulaanbaatar,47.9077,106.8832,32.0,40,75,24.61,MN,1615993905
Qena,26.1615,32.7183,84.2,23,0,11.5,EG,1615994203
Harper,4.375,-7.7169,84.25,70,100,10.54,LR,1615994204
Mweka,-4.85,21.5667,76.03,90,100,3.89,CD,1615994204
Kortkeros,61.8106,51.5806,33.8,93,75,6.71,RU,1615994204
Jinchang,38.4953,102.1739,41.94,24,0,4.59,CN,1615994205
Prado,-17.3411,-39.2208,84.47,60,1,8.46,BR,1615994205
Banjar,-8.19,114.9675,78.8,89,20,4.61,ID,1615994205
Flin Flon,54.7682,-101.865,19.4,68,1,3.44,CA,1615994205
Riyadh,24.6877,46.7219,95.0,8,20,14.97,SA,1615994006
Bonavista,48.6499,-53.1147,28.4,54,3,5.75,CA,1615994206
Camacha,33.0833,-16.3333,68.0,68,20,18.41,PT,1615994206
Puerto Escondido,15.85,-97.0667,82.4,78,1,6.93,MX,1615994003
Pisco,-13.7,-76.2167,73.4,64,75,10.36,PE,1615994207
Urzhum,57.1141,49.9996,20.52,91,100,8.79,RU,1615994207
Pacific Grove,36.6177,-121.9166,44.01,81,1,3.44,US,1615994020
Brae,60.3964,-1.353,46.4,76,20,11.5,GB,1615994207
Pyapon,16.2833,95.6833,75.07,66,0,7.81,MM,1615994208
Barabai,-2.5833,115.3833,76.08,95,98,1.88,ID,1615994208
Kaifeng,34.7911,114.3483,53.6,35,0,2.24,CN,1615994208
Mirny,62.5353,113.9611,-2.42,97,97,4.92,RU,1615994209
Otradnoye,59.7775,30.8181,33.01,90,96,3.42,RU,1615994209
Yueyang,29.3333,113.0919,58.86,95,100,6.96,CN,1615994209
Thyolo,-16.0678,35.1405,72.79,82,7,4.14,MW,1615994209
Antsohihy,-14.8796,47.9875,79.18,92,100,4.14,MG,1615994210
Vilyuysk,63.7553,121.6247,-12.66,93,94,7.34,RU,1615994210
Sinnamary,5.3833,-52.95,81.66,69,79,10.11,GF,1615994210
Yamada,39.4667,141.95,34.79,72,0,6.91,JP,1615994211
Colombo,6.9319,79.8478,84.2,79,20,2.3,LK,1615994117
Skjervøy,70.0311,20.9714,23.0,54,75,9.22,NO,1615994211
Chara,56.9064,118.2631,4.35,67,32,2.93,RU,1615994211
Örnsköldsvik,63.2909,18.7153,35.6,69,75,11.5,SE,1615994212
Kologriv,58.8275,44.3178,29.53,96,100,5.17,RU,1615994212
Rādhanpur,23.8333,71.6,82.49,15,60,6.35,IN,1615994212
Morro Bay,35.3658,-120.8499,43.0,93,1,2.91,US,1615994213
Seoul,37.5683,126.9778,46.4,81,0,2.3,KR,1615993944
Bagdarin,54.4333,113.6,9.64,85,82,3.49,RU,1615994213
Conceição do Araguaia,-8.2578,-49.2647,84.97,72,46,4.79,BR,1615994213
Utete,-7.986,38.758,81.99,77,99,5.95,TZ,1615994214
Fuyang,32.9,115.8167,47.84,68,100,7.38,CN,1615994214
Kushiro,42.975,144.3747,33.48,76,96,9.19,JP,1615994214
Taksimo,56.3444,114.8794,11.41,85,90,2.98,RU,1615994214
Goma,-1.6792,29.2228,67.44,89,100,0.67,CD,1615994215
Poum,-20.2333,164.0167,79.36,77,3,14.05,NC,1615994215
Skagen,57.7209,10.5839,41.0,56,0,9.22,DK,1615994173
Dawan,24.34,112.948,75.83,77,41,3.67,CN,1615994215
